"source";"record_id";"listing_id";"canonical_url";"url";"segment";"segment_url";"quicklink_count";"page_number";"position_on_page";"status";"run_marker";"collected_at";"parsed_at";"error"
"cian";"cian_327067182";"327067182";"https://www.cian.ru/sale/flat/327067182/";"https://dolgoprudny.cian.ru/sale/flat/327067182/?context=4.gTTaFZz8KR0.-dlxWPOnnBlNNYvyTYTy5N7jKAzrSK472-00Qmd5x2ODTUTG4E-c3v2CWsi4lX1xLjhDJvH2irWSjA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"3";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:17:26";""
"cian";"cian_330541635";"330541635";"https://www.cian.ru/sale/flat/330541635/";"https://elektrostal.cian.ru/sale/flat/330541635/?context=4.mBXy_lGThSw.Kx3cMUAVUYwe78Ma7WJdWOvAhAeKqLJ0eoconfGjeDOmVnD4uoair6j3VdJK5BUvpOo6JurE3MLNIQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"4";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:17:39";""
"cian";"cian_330849506";"330849506";"https://www.cian.ru/sale/flat/330849506/";"https://balashikha.cian.ru/sale/flat/330849506/?context=4.CdoXB5C9FF0.W5zYDQUZSqYqDFPygjRZJbo-8fPV6ezpmVyt1BRPJ_hrwbRs7MamQ1azdgB2l-fVkHhlsEZr4AFhHA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"5";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:17:53";""
"cian";"cian_318172658";"318172658";"https://www.cian.ru/sale/flat/318172658/";"https://mytishchi.cian.ru/sale/flat/318172658/?context=4.3LuRqZr5jsk.t3IHSPNwukDO6lPapR-hET8NhzsT968Gci1xN_x1eozFKxOqNj7_9E1DZdsA5XBUHlO6w0es3SxYVA&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"6";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:18:09";""
"cian";"cian_329904850";"329904850";"https://www.cian.ru/sale/flat/329904850/";"https://solnechnogorsk.cian.ru/sale/flat/329904850/?context=4.pCuNdg2GRZ0.U2oRnDhsbZrmNwWyTJiRl4r7JwjHk5VI-SaqZAZDN2RI3NZijX9B-kpQLSgQVkvfIbZKrx-_DXFoNw&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"7";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:18:23";""
"cian";"cian_330319708";"330319708";"https://www.cian.ru/sale/flat/330319708/";"https://ivanteyevka.cian.ru/sale/flat/330319708/?context=4.pESllOrfLe4.ut8cuGnKTu81gB8G3AolR7z6dPTzd9LuyLuzTa6z39GBOfwvRu34ziwReAi4N6RBZ7JRTe70jOmBMQ&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"8";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:18:37";""
"cian";"cian_327311224";"327311224";"https://www.cian.ru/sale/flat/327311224/";"https://www.cian.ru/sale/flat/327311224/?context=4.Gm3euqXpM-U.Ax1L9lP2h6WzIhDkmXhU61slC-ile9Eo5LaebWNw7jSNonmYt4mNXPwtOKnDGbgJN5ElAxO5Hz2AFw&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"9";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:18:52";""
"cian";"cian_330845423";"330845423";"https://www.cian.ru/sale/flat/330845423/";"https://ozery.cian.ru/sale/flat/330845423/?context=4.xGvf4p4_8Zc.0HNaY6cmE6HzXZOJQJ-1V76TRglQmCVgGdduk9Y-Mzh8VbBeC-e2NmAifA5oTjf1wsyewZolaLAmjg&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"10";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:19:07";""
"cian";"cian_330835273";"330835273";"https://www.cian.ru/sale/flat/330835273/";"https://balashikha.cian.ru/sale/flat/330835273/?context=4.YLZP6yh0S-4.YaFUCRZVRzZdYJFpy4lDi_rwIJay1Y1rH0BvUSlKV10EgqoBs1IMpdMvR1Yw57WKILcjv8L3M60I1Q&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"11";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:19:22";""
"cian";"cian_329366038";"329366038";"https://www.cian.ru/sale/flat/329366038/";"https://vidnoye.cian.ru/sale/flat/329366038/?context=4.DBG0J9fdxpc.S6GKzO_foxUHfvF-w49y2bKjOPgGtKDnHuvveLqwWGRHiT-FIeStdIaw_6mu637hCLZId7cVPHyYIw&mlSearchSessionGuid=a3f265dcb2a5b7061ac3426cce13c9ba";"1 комнатные";"https://www.cian.ru/kupit-1-komnatnuyu-kvartiru-moskovskaya-oblast/";"22852";"2";"12";"done";"";"2026-06-13 00:25:13";"2026-06-13 01:19:35";""
