price_rub,lat,lon,total_area_m2,rooms,floor_ratio,house_year,housing_market,property_format,source,address_exact,residential_complex
9723910.0,55.65533,37.87162,37.1,1.0,1.0,,new_building,flat,avito,"яничкин пр-д, з/у 6/11",белая дача парк
9839709.0,55.76614,37.21243,38.8,1.0,0.7777777777777778,,new_building,flat,avito,"д. глухово, стр. 4.1",ильинские луга
4500000.0,55.56822421595401,37.96189071185739,38.0,1.0,0.2,1985.0,unknown,flat,avito,"московская обл., лыткарино, детский городок зил, 38",unknown
4300000.0,55.36782190620492,39.07912565653564,38.0,1.0,0.1,,unknown,flat,avito,"московская обл., егорьевск, ул. механизаторов, 55к1",unknown
5152596.0,55.63949,37.94882,22.8,1.0,0.6666666666666666,,new_building,flat,avito,"московская область, городской округ люберцы, поселок жилино-1, жилой комплекс егорово парк, стр. 4.1",жк «егорово парк»
6068700.0,55.43296,37.73279,36.8,1.0,0.7058823529411765,,new_building,flat,avito,"ул. текстильщиков, стр. 45",жк «оптима на текстильщиков»
5644000.0,56.04874,37.86375,28.2,1.0,0.3125,,new_building,flat,avito,"городской округ пушкинский, стр. 6",жилой квартал пушкино град
4750000.0,56.24167,37.98642,32.7,1.0,0.6666666666666666,,new_building,flat,avito,"ул. горжовицкая, стр. 3",жк «клевер»
10459410.0,55.82385,37.93982,38.0,1.0,0.5,,new_building,flat,avito,"московская область, балашиха, жилой комплекс квартал авиаторов, к4",жк «квартал авиаторов»
7968750.0,55.71298,37.36949,37.5,1.0,0.6470588235294118,,unknown,apartments,avito,"ул. западная, комплекс апартаментов «м1 сколково»",комплекс апартаментов «м1 сколково»
6100000.0,55.94649,37.09698,35.7,1.0,0.5,,unknown,flat,avito,"д. бакеево, кв-л «бакеево парк», корп. 1",жк «бакеево парк»
7950000.0,55.56209674365563,37.70445384818037,40.0,1.0,0.4117647058823529,,unknown,flat,avito,"московская обл., ленинский г.о., видное, б-р зеленые аллеи, 12",unknown
8116241.0,55.96622,37.30769,36.8,1.0,0.6666666666666666,,unknown,flat,avito,"ул. первомайская, стр. 2, секц. 1",жк «ласточкино»
7464578.0,55.95205,37.46823,32.0,1.0,0.11764705882352941,,new_building,flat,avito,"ул. олимпийская, корп. 5",жк «квартал ивакино»
7500000.0,55.63898,37.94646,45.0,1.0,0.4166666666666667,,unknown,flat,avito,"жк «егорово парк», корп. 3.2",жк «егорово парк»
9779681.0,55.94922,37.46862,40.9,1.0,0.4375,,unknown,flat,avito,"кв-л ивакино, стр.1.3",жк «1-й химкинский»
13354440.0,55.94336,37.33838,40.2,1.0,0.11764705882352941,,new_building,flat,avito,"мкр. подрезково, д. 3",жк «1-й шереметьевский»
7818912.0,55.52786,37.71894,34.0,1.0,0.7916666666666666,,unknown,flat,avito,"ленинский городской округ, д. сапроново, д. 5",жк «1-й донской»
4750000.0,55.62849808,37.00657272,30.0,1.0,0.8,,unknown,flat,avito,"московская обл., одинцовский г.о., пгт. большие вяземы, поселок школьный, 4",unknown
6842043.0,55.54744,37.65085,35.0,1.0,0.875,,new_building,flat,avito,"д. спасское, жк «живописный»",жк «живописный»
11900000.0,55.61234,37.38966,39.0,1.0,0.75,,unknown,flat,avito,"п. московский, жилой комплекс филатов луг, к. 6",жк «филатов луг»
4650000.0,55.555234,38.26223,38.1,1.0,1.0,1989.0,unknown,flat,avito,"московская обл., раменский г.о., раменское, строительная ул., 10",unknown
